question,answer,reason_label
Give an example of a professional challenge.,It happens sometimes.,misinterpretation
Give an example of a professional challenge.,I have two siblings.,missing_context
What do you do when there is pressure at work?,I managed somehow.,missing_context
Is there something you would have done differently?,I tried to deal with it.,misinterpretation
Tell me about a difficulty you experienced at work.,I worked at another company in the past.,term_not_clear
Has there ever been a time when you failed at something?,I wake up early in the morning.,too_general
What does your workday look like?,There is nothing to do.,too_general
Tell me about a difficulty you experienced at work.,It was not simple.,too_general
What is the biggest challenge in the role?,I tried to deal with it.,misinterpretation
Give an example of a professional challenge.,I managed somehow.,missing_context
Is there something you would have done differently?,It happens sometimes.,misinterpretation
How do you act when there is a heavy workload?,"It was challenging, but it passed.",misinterpretation
What does your workday look like?,I have two siblings.,question_too_broad
What do you do when something goes wrong?,I have two siblings.,missing_context
What motivates you at work?,Every case is different.,question_too_broad
What do you do when something goes wrong?,I wake up early in the morning.,off_topic_answer
Was there a situation in which you did not complete tasks on time?,I worked at another company in the past.,missing_context
Was there a situation in which you did not complete tasks on time?,It was not simple.,missing_context
Is there something you would have done differently?,Everything depends on the situation.,missing_context
Tell me about a case in which you dealt with a problem.,I did what I could.,too_general
What do you do when something goes wrong?,I worked at another company in the past.,too_general
Has there ever been a time when you failed at something?,I did what I could.,question_too_broad
What is important to you in a workplace?,There is nothing to do.,question_too_broad
What is important to you in a workplace?,I wake up early in the morning.,missing_context
How do you handle pressure?,Everything depends on the situation.,question_too_broad
What do you do when there is pressure at work?,I live in Tel Aviv.,too_general
Tell me about a difficulty you experienced at work.,I wake up early in the morning.,misinterpretation
How do you act when there is a heavy workload?,It was not simple.,misinterpretation
What do you do when something goes wrong?,Everything depends on the situation.,misinterpretation
Give an example of a professional challenge.,That is how it is at work.,question_too_broad
Tell me about a case in which you dealt with a problem.,I tried to deal with it.,off_topic_answer
What does your workday look like?,I wake up early in the morning.,too_general
Give an example of a professional challenge.,I tried to deal with it.,off_topic_answer
Has there ever been a time when you failed at something?,It was not simple.,question_too_broad
What motivates you at work?,It was not simple.,term_not_clear
Is there something you would have done differently?,There is nothing to do.,missing_context
Was there a situation in which you did not complete tasks on time?,I wake up early in the morning.,too_general
Give an example of a professional challenge.,Everything depends on the situation.,misinterpretation
Tell me about a case in which you dealt with a problem.,I like music.,off_topic_answer
What do you do when something goes wrong?,I managed somehow.,term_not_clear
Is there something you would have done differently?,"It was challenging, but it passed.",term_not_clear
Describe a challenging situation from work.,I like music.,too_general
What motivates you at work?,I did what I could.,too_general
What does your workday look like?,Everything depends on the situation.,term_not_clear
Tell me about a case in which you dealt with a problem.,I worked at another company in the past.,missing_context
What is the biggest challenge in the role?,I live in Tel Aviv.,missing_context
What do you do when something goes wrong?,"It was challenging, but it passed.",off_topic_answer
What does your workday look like?,I managed somehow.,missing_context
What do you do when there is pressure at work?,I wake up early in the morning.,term_not_clear
Tell me about a case in which you dealt with a problem.,There is nothing to do.,term_not_clear
What is important to you in a workplace?,I like music.,question_too_broad
Tell me about a difficulty you experienced at work.,"It was challenging, but it passed.",term_not_clear
How do you handle pressure?,I managed somehow.,missing_context
What is important to you in a workplace?,Every case is different.,misinterpretation
Give an example of a professional challenge.,I worked at another company in the past.,off_topic_answer
How do you act when there is a heavy workload?,It happens sometimes.,question_too_broad
What is the biggest challenge in the role?,"It was challenging, but it passed.",missing_context
What is the biggest challenge in the role?,I have two siblings.,off_topic_answer
Describe a challenging situation from work.,Everything depends on the situation.,missing_context
Describe a challenging situation from work.,I wake up early in the morning.,question_too_broad
Is there something you would have done differently?,It was not simple.,term_not_clear
What does your workday look like?,"It was challenging, but it passed.",misinterpretation
What does your workday look like?,I tried to deal with it.,question_too_broad
How do you handle pressure?,I wake up early in the morning.,term_not_clear
What does your workday look like?,I did what I could.,question_too_broad
What do you do when something goes wrong?,Every case is different.,too_general
What does your workday look like?,I live in Tel Aviv.,misinterpretation
Tell me about a difficulty you experienced at work.,I managed somehow.,missing_context
Describe a challenging situation from work.,I have two siblings.,missing_context
Is there something you would have done differently?,I did what I could.,misinterpretation
Tell me about a case in which you dealt with a problem.,Every case is different.,too_general
What is important to you in a workplace?,It was not simple.,term_not_clear
Tell me about a difficulty you experienced at work.,Everything depends on the situation.,missing_context
Is there something you would have done differently?,That is how it is at work.,too_general
