text,O,C,E,A,N
"In my last role as a Data Analyst (Junior), I faced leading a meeting. I do my best work in quiet environments and prefer one-on-one discussions. I use checklists and routines to avoid mistakes. When pressure spikes, I notice anxiety and have to manage it deliberately. I delivered the outcome by communicating clearly and iterating fast.",3.0,4.0,1.0,3.0,4.0
"During prioritizing tasks, I focused on structured execution. I prefer proven methods and practical solutions over experimentation. I contribute thoughtfully after reflecting. I like clear procedures and established best practices. I documented what we learned and applied it next time.",2.0,3.0,2.0,2.0,4.0
"During resolving a conflict, I focused on structured execution. I stay steady under pressure and keep a level head. I’m curious and often propose creative alternatives. I’m comfortable debating strongly if I think it improves the outcome. I documented what we learned and applied it next time.",4.0,4.0,3.0,2.0,1.0
"In my last role as a Operations Associate (Junior), I faced fixing a critical issue. I prefer proven methods and practical solutions over experimentation. I use checklists and routines to avoid mistakes. I recharge with focused solo time after collaboration. I delivered the outcome by communicating clearly and iterating fast.",1.0,4.0,3.0,2.0,3.0
"When leading a meeting came up, I collaborated across functions. I listen first, try to understand others' perspectives, and look for win-win solutions. I feel energized in group settings and enjoy meeting new people. I feel energized in group settings and enjoy meeting new people. I balanced speed and quality while keeping others informed.",3.0,3.0,4.0,5.0,3.0
"When prioritizing tasks came up, I collaborated across functions. I prefer flexibility over rigid routines. When pressure spikes, I notice anxiety and have to manage it deliberately. I’m sensitive to critical feedback at first, but I work through it. I balanced speed and quality while keeping others informed.",2.0,1.0,4.0,4.0,5.0
"When fixing a critical issue came up, I collaborated across functions. I do my best work in quiet environments and prefer one-on-one discussions. I’m comfortable debating strongly if I think it improves the outcome. When pressure spikes, I notice anxiety and have to manage it deliberately. I balanced speed and quality while keeping others informed.",3.0,3.0,1.0,1.0,4.0
"During managing stakeholders, I focused on structured execution. I focus on what works reliably rather than trying novel approaches. I plan my work, break tasks into steps, and track progress carefully. I contribute thoughtfully after reflecting. I documented what we learned and applied it next time.",1.0,4.0,3.0,4.0,4.0
"In my last role as a Data Analyst (Senior), I faced resolving a conflict. I follow through reliably and keep my commitments. I feel energized in group settings and enjoy meeting new people. I feel energized in group settings and enjoy meeting new people. I delivered the outcome by communicating clearly and iterating fast.",4.0,5.0,5.0,2.0,2.0
"During supporting a teammate, I focused on structured execution. I focus on what works reliably rather than trying novel approaches. I use checklists and routines to avoid mistakes. I use checklists and routines to avoid mistakes. I documented what we learned and applied it next time.",2.0,4.0,4.0,3.0,3.0
