id,text,logic,clarity,depth,structure,metacognition,applied,pattern
think_00001,I dealt with handling a deadline as a Software Engineer. I tried something and it worked.,2.1,1.8,1.2,1.5,1.4,2.1,short_vague
think_00002,"As a Marketing Specialist, I encountered handling a deadline. I broke the issue into components, mapped dependencies, assessed risks, and compared trade-offs between speed and quality. After implementation, I analyzed metrics and documented lessons learned.",4.2,4.1,4.7,4.1,4.1,4.7,long_detailed
think_00003,"As a Marketing Specialist, I encountered resolving a team conflict. I broke the issue into components, mapped dependencies, assessed risks, and compared trade-offs between speed and quality. After implementation, I analyzed metrics and documented lessons learned.",4.6,4.1,5.0,4.7,4.0,4.5,long_detailed
think_00004,I handled resolving a team conflict in my position as Product Manager. I did what usually works and hoped for the best.,2.8,2.5,1.5,2.0,2.0,2.6,low_depth
think_00005,"In my role as a Team Lead, I was presenting to stakeholders. First I identified the root cause, then evaluated alternatives, and selected the option that minimized risk. I reviewed the results and adjusted based on measurable outcomes.",4.4,4.7,4.0,4.4,4.3,4.8,high_logic
think_00006,I handled learning a new tool in my position as Operations Lead. I did what usually works and hoped for the best.,2.1,2.7,2.0,2.7,2.0,2.8,low_depth
think_00007,"In my work as UX Designer, I faced improving a process. Initially I assumed one approach would work, but after reviewing feedback I revised my plan. In hindsight, I would test smaller iterations earlier.",4.3,4.0,4.3,3.7,4.6,4.3,reflective
think_00008,I dealt with presenting to stakeholders as a Software Engineer. I tried something and it worked.,2.0,2.0,1.3,1.8,1.0,2.4,short_vague
think_00009,I dealt with learning a new tool as a Operations Lead. I tried something and it worked.,1.8,2.2,1.1,2.1,1.4,2.0,short_vague
think_00010,"In my role as a Operations Lead, I was presenting to stakeholders. First I identified the root cause, then evaluated alternatives, and selected the option that minimized risk. I reviewed the results and adjusted based on measurable outcomes.",5.0,4.3,4.4,4.5,4.5,4.5,high_logic
think_00011,I handled resolving a team conflict in my position as Product Manager. I did what usually works and hoped for the best.,2.6,2.6,2.0,2.2,1.8,2.4,low_depth
think_00012,"As a Team Lead, I dealt with handling a deadline. I considered different approaches and chose what seemed practical. I monitored progress and reflected on improvements.",3.7,3.9,2.9,3.1,3.2,3.6,balanced
think_00013,"In my work as Marketing Specialist, I faced presenting to stakeholders. Initially I assumed one approach would work, but after reviewing feedback I revised my plan. In hindsight, I would test smaller iterations earlier.",4.6,4.1,4.8,4.2,4.4,4.2,reflective
think_00014,I dealt with making a strategic decision as a UX Designer. I tried something and it worked.,2.0,1.7,1.4,1.8,1.6,2.4,short_vague
think_00015,I handled presenting to stakeholders in my position as Product Manager. I did what usually works and hoped for the best.,2.7,2.9,1.6,2.4,1.8,2.2,low_depth
think_00016,"As a Data Analyst, I dealt with presenting to stakeholders. I considered different approaches and chose what seemed practical. I monitored progress and reflected on improvements.",3.4,3.2,3.5,3.7,3.4,3.3,balanced
think_00017,"In my role as a Operations Lead, I was presenting to stakeholders. First I identified the root cause, then evaluated alternatives, and selected the option that minimized risk. I reviewed the results and adjusted based on measurable outcomes.",5.0,4.1,4.3,4.3,4.4,4.7,high_logic
think_00018,"As a Team Lead, I dealt with presenting to stakeholders. I considered different approaches and chose what seemed practical. I monitored progress and reflected on improvements.",3.2,3.6,3.3,3.8,3.4,3.7,balanced
think_00019,I dealt with learning a new tool as a Operations Lead. I tried something and it worked.,1.7,2.4,1.6,1.8,1.2,1.8,short_vague
think_00020,"As a Software Engineer, I dealt with debugging a production issue. I considered different approaches and chose what seemed practical. I monitored progress and reflected on improvements.",3.1,3.6,3.3,3.0,3.3,3.1,balanced
think_00021,"In my role as a Data Analyst, I was making a strategic decision. First I identified the root cause, then evaluated alternatives, and selected the option that minimized risk. I reviewed the results and adjusted based on measurable outcomes.",4.6,4.4,4.1,4.6,4.2,4.7,high_logic
