question,answer,specificity,ownership,impact,set_type,notes
Describe a project you executed end-to-end. What did you do and what was the result?,"I worked on invoice reconciliation with Excel. I mapped the steps, implemented the main changes, and coordinated feedback before rolling it out. I had responsibility for part of the work, together with the rest of the team. There was some improvement, but it was hard to quantify. It started as a short pilot, so the data was incomplete.",4,3,2,main,mixed_mid
Tell me about a task you had to complete under time pressure. How did you manage the execution?,"I have experience in this area. I led the core implementation and was accountable for the main deliverables. The result was a noticeable improvement, even though we did not track every metric formally. I do not remember the exact numbers, only the direction of the change.",1,4,3,minimal_pair_low,pair_dim=specificity
Tell me about a technical or operational problem you faced and how you solved it.,"I worked on related tasks. I led the core implementation and was accountable for the main deliverables. The result was a noticeable improvement, even though we did not track every metric formally.",1,4,3,main,ownership_high_specificity_low
Describe a project you executed end-to-end. What did you do and what was the result?,"In my last role, I owned a log analysis project using Snowflake. I defined the workflow, broke the work into milestones, documented requirements, and built the solution in stages so the team could review each step. I connected the inputs, added validation checks, tested the handoff points, and wrote short documentation so other people could maintain it. I led the core implementation and was accountable for the main deliverables. I coordinated with support and operations to make sure the solution matched the real workflow. We reduced report preparation time from 9 hours to 3 minutes. The change was adopted by the team and stayed in regular use.",5,4,5,main,all_high
"What core tool have you used recently, and what did you actually do with it?","I handled work related to candidate screening and used Docker as part of the process. I split the task into a few steps and went through them with the team. I supported the team and mainly handled follow-ups, updates, or smaller tasks. We reduced deployment time from 10 hours to 7 minutes.",3,2,4,main,mixed_mid
"What core tool have you used recently, and what did you actually do with it?","In my last role, I owned a customer onboarding project using Airflow. I defined the workflow, broke the work into milestones, documented requirements, and built the solution in stages so the team could review each step. I connected the inputs, added validation checks, tested the handoff points, and wrote short documentation so other people could maintain it. I was personally responsible for the execution end-to-end. We cut the open backlog from 50 items to 37 items. The change was adopted by the team and stayed in regular use.",5,5,5,main,all_high
"What core tool have you used recently, and what did you actually do with it?","In my last role, I owned a sales reporting project using Lambda. I defined the workflow, broke the work into milestones, documented requirements, and built the solution in stages so the team could review each step. I connected the inputs, added validation checks, tested the handoff points, and wrote short documentation so other people could maintain it. I supported the team and mainly handled follow-ups, updates, or smaller tasks. I coordinated with engineering and management to make sure the solution matched the real workflow. We reduced runtime from 10 minutes to 4 seconds.",5,2,4,main,ownership_low_specificity_high
"What core tool have you used recently, and what did you actually do with it?",I handled work related to support ticket triage and used Node.js as part of the process. I split the task into a few steps and went through them with the team. I led the core implementation and was accountable for the main deliverables. We reduced report preparation time from 8 hours to 5 minutes.,3,4,4,main,mixed_mid
Tell me about a technical or operational problem you faced and how you solved it.,"I handled work related to forecasting and used Looker as part of the process. I split the task into a few steps and went through them with the team. The team owned the work overall, and my role was limited. I cannot point to a clear result, because it was mostly exposure or learning rather than ownership.",3,1,1,main,edge_uncertain
"What core tool have you used recently, and what did you actually do with it?","I learn quickly and adapt. I led the core implementation and was accountable for the main deliverables. The result was a noticeable improvement, even though we did not track every metric formally.",1,4,3,minimal_pair_low,pair_dim=specificity
Give an example of a time you had to coordinate with multiple stakeholders to complete a task.,"I worked on sales reporting with Docker. I mapped the steps, implemented the main changes, and coordinated feedback before rolling it out. I was personally responsible for the execution end-to-end. I coordinated with operations and management to make sure the solution matched the real workflow. The result was a noticeable improvement, even though we did not track every metric formally.",4,5,3,minimal_pair_high,pair_dim=ownership
"Describe a process you improved. What was the situation before, and what changed afterward?","I worked on support ticket triage, and i'm good at this kind of work. I used tools like Excel, but I was not the only person involved. I led the core implementation and was accountable for the main deliverables. The result was a noticeable improvement, even though we did not track every metric formally.",2,4,3,main,mixed_mid
"Describe a process you improved. What was the situation before, and what changed afterward?","I worked on client communication with Figma. I mapped the steps, implemented the main changes, and coordinated feedback before rolling it out. I led the core implementation and was accountable for the main deliverables. I coordinated with finance and operations to make sure the solution matched the real workflow. We reduced report preparation time from 9 hours to 3 minutes. The change was adopted by the team and stayed in regular use.",4,4,5,minimal_pair_high,pair_dim=impact
Tell me about a task you had to complete under time pressure. How did you manage the execution?,"In my last role, I owned a data cleaning project using Airflow. I defined the workflow, broke the work into milestones, documented requirements, and built the solution in stages so the team could review each step. I connected the inputs, added validation checks, tested the handoff points, and wrote short documentation so other people could maintain it. I led the core implementation and was accountable for the main deliverables. I coordinated with QA and sales to make sure the solution matched the real workflow. We reduced the monthly cost from $8,033 to $1,497. The change was adopted by the team and stayed in regular use.",5,4,5,main,all_high
"Describe a process you improved. What was the situation before, and what changed afterward?","I worked on support ticket triage with Airflow. I mapped the steps, implemented the main changes, and coordinated feedback before rolling it out. I was personally responsible for the execution end-to-end. I coordinated with finance and management to make sure the solution matched the real workflow. The result was a noticeable improvement, even though we did not track every metric formally.",4,5,3,minimal_pair_high,pair_dim=ownership
Tell me about a task you had to complete under time pressure. How did you manage the execution?,I helped with similar work before.,1,2,1,edge_case,very_short_vague
Tell me about a technical or operational problem you faced and how you solved it.,"I handled work related to employee onboarding and used Snowflake as part of the process. I had responsibility for part of the work, together with the rest of the team. I coordinated with product and management to make sure the solution matched the real workflow. The result was a noticeable improvement, even though we did not track every metric formally.",3,3,3,main,mixed_mid
Tell me about a technical or operational problem you faced and how you solved it.,"I worked on invoice reconciliation with Looker. I mapped the steps, implemented the main changes, and coordinated feedback before rolling it out. I was personally responsible for the execution end-to-end. The result was a noticeable improvement, even though we did not track every metric formally.",4,5,3,minimal_pair_high,pair_dim=ownership
