text,personality,thinking,abilities,experience,no_signal,label_combo,source
"Maybe, but I cannot really say.",0,0,0,0,1,none,synthetic_combo
Question: Tell me about your experience. Answer: I was involved in many important things and supported several processes across the company.,0,0,0,0,1,none,vague_professional
"Question: How would you describe your professional profile? Answer: I automated a manual reconciliation process and cut repetitive work for the operations team. Also, I was responsible for one major component in a customer-facing workflow and handled planning, execution, and release follow-up.",0,0,1,1,0,abilities+experience,synthetic_combo
Question: Tell me about your experience. Answer: I was involved in many important things and supported several processes across the company.,0,0,0,0,1,none,vague_professional
"Question: Tell me about yourself professionally. Answer: When I solve a problem, I look at edge cases, long-term consequences, and trade-offs between options. On top of that, I handled a production issue in a system with several services and dependencies that affected real users and business operations.",0,1,0,1,0,thinking+experience,synthetic_combo
"Question: How do you usually behave in team settings? Answer: I am dependable, detail-oriented, and usually create order when things are messy.",1,0,0,0,0,personality,synthetic_combo
Question: How would you describe your general working style? Answer: I stay composed under pressure and do not get emotionally overwhelmed easily.,1,0,0,0,0,personality,synthetic_combo
"Question: Describe your work and how you approach it. Answer: I prefer routine and familiar methods, and I usually avoid unnecessary experimentation. In addition, First I checked the assumptions, then compared the alternatives, and only after that did I reach a conclusion. In practice, The work was complex because it involved multiple teams, dependencies, incidents, and operational constraints.",1,1,0,1,0,personality+thinking+experience,synthetic_combo
"Question: Tell me about yourself professionally. Answer: I like predictable processes and proven methods more than risky experiments. Also, When I solve a problem, I look at edge cases, long-term consequences, and trade-offs between options.",1,1,0,0,0,personality+thinking,synthetic_combo
It varied from time to time.,0,0,0,0,1,none,synthetic_combo
"Question: Tell me about your work. Answer: I heard about SQL, Python, APIs, dashboards, and production systems during my studies, but I did not build or own anything myself.",0,0,0,0,1,none,keyword_trap
Question: What does your reasoning process look like? Answer: I break complex questions into smaller parts and build the answer in a transparent sequence.,0,1,0,0,0,thinking,synthetic_combo
"Question: How do you think through a difficult problem? Answer: I explain my reasoning clearly, separate facts from assumptions, and make the argument easy to follow.",0,1,0,0,0,thinking,synthetic_combo
"Question: What have you done in practice? Answer: I turned a repeated manual task into a repeatable process using scripts, validation checks, and scheduled runs. I do not remember every detail, but the main pattern was clear.",0,0,1,0,0,abilities,synthetic_combo
"Question: Tell me about your professional experience. Answer: The work was complex because it involved multiple teams, dependencies, incidents, and operational constraints.",0,0,0,1,0,experience,synthetic_combo
It varied from time to time.,0,0,0,0,1,none,synthetic_combo
"Question: Describe the scale and responsibility of your previous work. Answer: I worked on a multi-team production system with APIs, SQL, dashboards, and release processes across engineering, product, and operations.",0,0,0,1,0,experience,synthetic_combo
"Question: What kind of systems and environments have you worked in? Answer: The project had multiple dependencies, real-user impact, production constraints, and cross-team coordination requirements.",0,0,0,1,0,experience,synthetic_combo
"Yes, I think so.",0,0,0,0,1,none,synthetic_combo
"Question: What kind of systems and environments have you worked in? Answer: My experience includes working across reporting systems, operational workflows, internal platforms, and cross-functional delivery.",0,0,0,1,0,experience,synthetic_combo
"Question: How do you usually behave in team settings? Answer: I am dependable, detail-oriented, and usually create order when things are messy.",1,0,0,0,0,personality,synthetic_combo
"Question: What kind of systems and environments have you worked in? Answer: The project had multiple dependencies, real-user impact, production constraints, and cross-team coordination requirements.",0,0,0,1,0,experience,synthetic_combo
"Question: How do you approach complex decisions? Answer: When I solve a problem, I look at edge cases, long-term consequences, and trade-offs between options.",0,1,0,0,0,thinking,synthetic_combo
"Question: What kind of person are you at work? Answer: I prefer routine and familiar methods, and I usually avoid unnecessary experimentation.",1,0,0,0,0,personality,synthetic_combo
"Question: What kind of person are you at work? Answer: I am dependable, detail-oriented, and usually create order when things are messy.",1,0,0,0,0,personality,synthetic_combo
"Question: Describe your work and how you approach it. Answer: I enjoy trying new ideas and different approaches, and I usually stay curious about how things can be improved. More specifically, I created a structured workflow in Notion and Jira so the team could track deliverables and execution more consistently. More specifically, The project had multiple dependencies, real-user impact, production constraints, and cross-team coordination requirements.",1,0,1,1,0,personality+abilities+experience,synthetic_combo
"Question: How would you describe your professional profile? Answer: First I checked the assumptions, then compared the alternatives, and only after that did I reach a conclusion. In practice, I owned the rollout of an internal tool, coordinated with the team, and handled the implementation details myself. In addition, The system I worked on had scale, dependencies, and operational constraints beyond a small standalone project.",0,1,1,1,0,thinking+abilities+experience,synthetic_combo
"Question: Tell me about yourself professionally. Answer: I stay composed under pressure and do not get emotionally overwhelmed easily. In addition, I prefer arguments that are precise, logically valid, and supported by evidence.",1,1,0,0,0,personality+thinking,synthetic_combo
"Question: How do you think through a difficult problem? Answer: Before deciding, I compare alternatives, stress-test the reasoning, and look for counterexamples.",0,1,0,0,0,thinking,synthetic_combo
"Question: How would you describe your professional profile? Answer: I usually go deeper than the first answer and ask what could break and what assumptions are hidden. More specifically, The work was complex because it involved multiple teams, dependencies, incidents, and operational constraints.",0,1,0,1,0,thinking+experience,synthetic_combo
"Question: Describe your work and how you approach it. Answer: I plan carefully, stay organized, and follow through on commitments even under pressure. At the same time, My approach is to define the problem, test explanations, and rule out weak hypotheses one by one. In practice, I built a dashboard in Power BI connected to SQL and reduced weekly report preparation from three hours to twenty minutes. More specifically, I worked on a multi-team production system with APIs, SQL, dashboards, and release processes across engineering, product, and operations.",1,1,1,1,0,personality+thinking+abilities+experience,synthetic_combo
"Question: Tell me about your professional experience. Answer: I worked on a multi-team production system with APIs, SQL, dashboards, and release processes across engineering, product, and operations.",0,0,0,1,0,experience,synthetic_combo
Question: How would you describe your general working style? Answer: I stay composed under pressure and do not get emotionally overwhelmed easily.,1,0,0,0,0,personality,synthetic_combo
"Question: What should we know about the way you work? Answer: I feel energized by working with people, leading conversations, and building connections across teams. Also, I usually go deeper than the first answer and ask what could break and what assumptions are hidden. Also, I implemented a Python script that cleaned incoming data and pushed validated records into the reporting flow. More specifically, My experience includes working across reporting systems, operational workflows, internal platforms, and cross-functional delivery.",1,1,1,1,0,personality+thinking+abilities+experience,synthetic_combo
"Question: What should we know about the way you work? Answer: I usually go deeper than the first answer and ask what could break and what assumptions are hidden. Also, I wrote the core API integration, tested edge cases, and supported the first release into production. In addition, The project had multiple dependencies, real-user impact, production constraints, and cross-team coordination requirements.",0,1,1,1,0,thinking+abilities+experience,synthetic_combo
"Question: Tell me about yourself professionally. Answer: I feel energized by working with people, leading conversations, and building connections across teams. In practice, I built a dashboard in Power BI connected to SQL and reduced weekly report preparation from three hours to twenty minutes. More specifically, The work was complex because it involved multiple teams, dependencies, incidents, and operational constraints.",1,0,1,1,0,personality+abilities+experience,synthetic_combo
"Question: What kind of systems and environments have you worked in? Answer: My experience includes working across reporting systems, operational workflows, internal platforms, and cross-functional delivery. Not every part of the work was equally difficult.",0,0,0,1,0,experience,synthetic_combo
Question: Tell me about your professional experience. Answer: I handled a production issue in a system with several services and dependencies that affected real users and business operations.,0,0,0,1,0,experience,synthetic_combo
"Question: Tell me about yourself professionally. Answer: First I checked the assumptions, then compared the alternatives, and only after that did I reach a conclusion. On top of that, I worked in both internal tools and customer-facing systems, including production releases and incident follow-up.",0,1,0,1,0,thinking+experience,synthetic_combo
"Question: What does your reasoning process look like? Answer: When I solve a problem, I look at edge cases, long-term consequences, and trade-offs between options.",0,1,0,0,0,thinking,synthetic_combo
"Question: Describe your work and how you approach it. Answer: I am dependable, detail-oriented, and usually create order when things are messy. Also, I handled a production issue in a system with several services and dependencies that affected real users and business operations.",1,0,0,1,0,personality+experience,synthetic_combo
"Question: How would you describe your professional profile? Answer: I enjoy trying new ideas and different approaches, and I usually stay curious about how things can be improved. In addition, I like to structure my thinking in steps so the logic is explicit and easy to verify.",1,1,0,0,0,personality+thinking,synthetic_combo
"Question: What should we know about the way you work? Answer: I feel energized by working with people, leading conversations, and building connections across teams. Also, I like to structure my thinking in steps so the logic is explicit and easy to verify. In addition, The work was complex because it involved multiple teams, dependencies, incidents, and operational constraints.",1,1,0,1,0,personality+thinking+experience,synthetic_combo
"Question: Tell me about yourself professionally. Answer: I prefer routine and familiar methods, and I usually avoid unnecessary experimentation. On top of that, The work was complex because it involved multiple teams, dependencies, incidents, and operational constraints.",1,0,0,1,0,personality+experience,synthetic_combo
"Question: Tell me what you actually built or executed. Answer: I implemented the feature, monitored the rollout, and fixed issues that appeared in the first week.",0,0,1,0,0,abilities,synthetic_combo
"Question: What should we know about the way you work? Answer: I prefer arguments that are precise, logically valid, and supported by evidence. In addition, I automated a manual reconciliation process and cut repetitive work for the operations team.",0,1,1,0,0,thinking+abilities,synthetic_combo
I do not have much to add.,0,0,0,0,1,none,synthetic_combo
"Question: Describe your work and how you approach it. Answer: I try to be empathetic, cooperative, and calm when working with others in difficult situations. At the same time, I try to make my conclusions traceable so someone else can follow the logic. In practice, I was responsible for one major component in a customer-facing workflow and handled planning, execution, and release follow-up.",1,1,0,1,0,personality+thinking+experience,synthetic_combo
"Question: How do you usually behave in team settings? Answer: I am highly self-disciplined, structured, and consistent in the way I handle my work.",1,0,0,0,0,personality,synthetic_combo
"Question: What kind of person are you at work? Answer: I am highly self-disciplined, structured, and consistent in the way I handle my work.",1,0,0,0,0,personality,synthetic_combo
Question: How would you describe your general working style? Answer: I stay composed under pressure and do not get emotionally overwhelmed easily.,1,0,0,0,0,personality,synthetic_combo
"Yes, I think so.",0,0,0,0,1,none,synthetic_combo
"Question: Tell me about your professional experience. Answer: I worked in both internal tools and customer-facing systems, including production releases and incident follow-up. Some parts were unclear at first, but I worked through them systematically.",0,0,0,1,0,experience,synthetic_combo
"Question: How would you describe your professional profile? Answer: I created a structured workflow in Notion and Jira so the team could track deliverables and execution more consistently. On top of that, I handled a production issue in a system with several services and dependencies that affected real users and business operations.",0,0,1,1,0,abilities+experience,synthetic_combo
Question: What kind of person are you at work? Answer: I like predictable processes and proven methods more than risky experiments.,1,0,0,0,0,personality,synthetic_combo
