id,questionText,diagnosticTarget,difficulty,recommendedScoringModels,contentCoverage,diagnosticCoverage,answerSignals
Q_BF_001_LEARNING_FAST,"Tell me about a time you had to learn a new tool, system, or topic quickly. What did you do, and how did you apply what you learned?",LearningAndAdaptability,Medium,"[""BIG_FIVE"", ""PracticalAbilities"", ""ThinkingQuality""]","{""learningAbility"": 0.95, ""adaptability"": 0.85, ""independentWork"": 0.6, ""selfManagement"": 0.55, ""newTools"": 0.9}","{""BIG_FIVE"": {""O"": {""coverage"": 0.9, ""desiredDirection"": ""high""}, ""C"": {""coverage"": 0.35, ""desiredDirection"": ""high""}}, ""PracticalAbilities"": {""Specificity"": {""coverage"": 0.7, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.5, ""desiredDirection"": ""high""}, ""Impact"": {""coverage"": 0.35, ""desiredDirection"": ""high""}}, ""ThinkingQuality"": {""clarity"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""structure"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""metacognition"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.75, ""desiredDirection"": ""high""}}}","[""describes a clear learning process"", ""uses resources independently"", ""explains what was difficult"", ""shows curiosity or initiative"", ""applies the learned knowledge in practice""]"
Q_BF_002_UNCLEAR_REQUIREMENTS,Describe how you handle a task when the requirements are unclear. What steps do you take before starting?,AmbiguityHandling,Medium,"[""BIG_FIVE"", ""ThinkingQuality"", ""PracticalAbilities""]","{""ambiguityHandling"": 0.95, ""communication"": 0.8, ""problemSolving"": 0.7, ""selfManagement"": 0.55, ""structuredThinking"": 0.75}","{""BIG_FIVE"": {""N"": {""coverage"": 0.85, ""desiredDirection"": ""low""}, ""C"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""A"": {""coverage"": 0.4, ""desiredDirection"": ""high""}}, ""ThinkingQuality"": {""logic"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""clarity"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""structure"": {""coverage"": 0.85, ""desiredDirection"": ""high""}, ""metacognition"": {""coverage"": 0.7, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.6, ""desiredDirection"": ""high""}}, ""PracticalAbilities"": {""Specificity"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.45, ""desiredDirection"": ""high""}}}","[""asks clarifying questions"", ""breaks the task into smaller parts"", ""communicates assumptions"", ""does not panic"", ""describes a practical decision process""]"
Q_BF_003_CHANGING_PRIORITIES,Tell me about a time priorities changed while you were working on something. How did you respond?,AdaptabilityUnderPressure,Medium,"[""BIG_FIVE"", ""ThinkingQuality"", ""PracticalAbilities""]","{""adaptability"": 0.9, ""prioritization"": 0.9, ""ambiguityHandling"": 0.75, ""communication"": 0.6, ""pressureHandling"": 0.85}","{""BIG_FIVE"": {""N"": {""coverage"": 0.9, ""desiredDirection"": ""low""}, ""C"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""A"": {""coverage"": 0.3, ""desiredDirection"": ""high""}}, ""ThinkingQuality"": {""logic"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""clarity"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""structure"": {""coverage"": 0.7, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.65, ""desiredDirection"": ""high""}}, ""PracticalAbilities"": {""Specificity"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.55, ""desiredDirection"": ""high""}}}","[""reassesses priorities"", ""communicates changes"", ""stays calm"", ""explains tradeoffs"", ""keeps progress despite change""]"
Q_BF_004_ATTENTION_TO_DETAIL,"Tell me about a time you found a mistake, risk, or small detail that others missed. What did you do?",Conscientiousness,Basic,"[""BIG_FIVE"", ""PracticalAbilities"", ""ThinkingQuality""]","{""attentionToDetail"": 0.95, ""qualityAwareness"": 0.85, ""responsibility"": 0.6, ""problemSolving"": 0.45}","{""BIG_FIVE"": {""C"": {""coverage"": 0.9, ""desiredDirection"": ""high""}, ""N"": {""coverage"": 0.25, ""desiredDirection"": ""low""}}, ""PracticalAbilities"": {""Specificity"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""Impact"": {""coverage"": 0.55, ""desiredDirection"": ""high""}}, ""ThinkingQuality"": {""clarity"": {""coverage"": 0.6, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.6, ""desiredDirection"": ""high""}}}","[""notices details"", ""checks work carefully"", ""prevents or fixes an issue"", ""understands impact of small mistakes"", ""takes responsible action""]"
Q_BF_005_TEAM_DIFFERENT_VIEW,Describe a time you worked with a teammate or stakeholder who saw things differently from you. How did you handle it?,Teamwork,Medium,"[""BIG_FIVE"", ""ThinkingQuality""]","{""teamwork"": 0.9, ""communication"": 0.85, ""conflictManagement"": 0.75, ""stakeholderWork"": 0.65, ""emotionalRegulation"": 0.55}","{""BIG_FIVE"": {""A"": {""coverage"": 0.9, ""desiredDirection"": ""high""}, ""N"": {""coverage"": 0.55, ""desiredDirection"": ""low""}, ""E"": {""coverage"": 0.35, ""desiredDirection"": ""high""}}, ""ThinkingQuality"": {""clarity"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""metacognition"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.55, ""desiredDirection"": ""high""}}}","[""listens to the other side"", ""communicates respectfully"", ""tries to reach shared understanding"", ""focuses on the task rather than ego"", ""explains what they learned""]"
Q_BF_006_COMMUNICATE_PROGRESS,"How do you usually communicate progress, blockers, or uncertainty when working on a task?",Communication,Basic,"[""BIG_FIVE"", ""ThinkingQuality""]","{""communication"": 0.95, ""teamwork"": 0.75, ""selfManagement"": 0.6, ""ambiguityHandling"": 0.55, ""responsibility"": 0.45}","{""BIG_FIVE"": {""A"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""C"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""E"": {""coverage"": 0.35, ""desiredDirection"": ""high""}}, ""ThinkingQuality"": {""clarity"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""structure"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.45, ""desiredDirection"": ""high""}}}","[""updates relevant people"", ""communicates blockers"", ""uses clear status updates"", ""knows when to ask for help"", ""communicates uncertainty responsibly""]"
Q_BF_007_TAKE_FEEDBACK,Tell me about a time you received feedback that required you to change how you worked. What did you do with it?,FeedbackAndGrowth,Medium,"[""BIG_FIVE"", ""ThinkingQuality""]","{""adaptability"": 0.8, ""learningAbility"": 0.75, ""communication"": 0.55, ""selfManagement"": 0.6, ""growthMindset"": 0.9}","{""BIG_FIVE"": {""O"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""A"": {""coverage"": 0.5, ""desiredDirection"": ""high""}, ""N"": {""coverage"": 0.45, ""desiredDirection"": ""low""}, ""C"": {""coverage"": 0.45, ""desiredDirection"": ""high""}}, ""ThinkingQuality"": {""clarity"": {""coverage"": 0.6, ""desiredDirection"": ""high""}, ""metacognition"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.65, ""desiredDirection"": ""high""}}}","[""accepts feedback without defensiveness"", ""explains what changed"", ""reflects on learning"", ""shows practical adjustment"", ""mentions result after the change""]"
Q_BF_008_INDEPENDENT_WORK,Describe a time you had to work independently without close supervision. How did you manage yourself?,IndependentWork,Medium,"[""BIG_FIVE"", ""PracticalAbilities"", ""ThinkingQuality""]","{""independentWork"": 0.95, ""selfManagement"": 0.9, ""ownership"": 0.7, ""responsibility"": 0.65}","{""BIG_FIVE"": {""C"": {""coverage"": 0.85, ""desiredDirection"": ""high""}, ""O"": {""coverage"": 0.35, ""desiredDirection"": ""high""}, ""N"": {""coverage"": 0.25, ""desiredDirection"": ""low""}}, ""PracticalAbilities"": {""Specificity"": {""coverage"": 0.6, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""Impact"": {""coverage"": 0.35, ""desiredDirection"": ""high""}}, ""ThinkingQuality"": {""structure"": {""coverage"": 0.6, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.55, ""desiredDirection"": ""high""}}}","[""sets priorities independently"", ""tracks progress"", ""takes responsibility"", ""knows when to ask for help"", ""delivers without constant reminders""]"
Q_BF_009_INITIATIVE,Tell me about a time you noticed something that needed to be done and acted without being asked.,Initiative,Medium,"[""BIG_FIVE"", ""PracticalAbilities""]","{""initiative"": 0.95, ""ownership"": 0.75, ""responsibility"": 0.7, ""processImprovement"": 0.5}","{""BIG_FIVE"": {""C"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""O"": {""coverage"": 0.45, ""desiredDirection"": ""high""}, ""E"": {""coverage"": 0.35, ""desiredDirection"": ""high""}}, ""PracticalAbilities"": {""Specificity"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.85, ""desiredDirection"": ""high""}, ""Impact"": {""coverage"": 0.55, ""desiredDirection"": ""high""}}}","[""identifies a need"", ""acts proactively"", ""explains personal action"", ""mentions result or value"", ""does not wait passively""]"
Q_BF_010_PRESSURE_RESPONSE,Describe a situation where you had to stay calm while dealing with pressure or a difficult task.,PressureHandling,Medium,"[""BIG_FIVE"", ""ThinkingQuality""]","{""pressureHandling"": 0.95, ""emotionalRegulation"": 0.9, ""selfManagement"": 0.6, ""problemSolving"": 0.55}","{""BIG_FIVE"": {""N"": {""coverage"": 0.95, ""desiredDirection"": ""low""}, ""C"": {""coverage"": 0.45, ""desiredDirection"": ""high""}}, ""ThinkingQuality"": {""clarity"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""structure"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.5, ""desiredDirection"": ""high""}}}","[""stays calm"", ""does not blame others"", ""breaks situation into manageable parts"", ""communicates appropriately"", ""continues working effectively""]"
