question,answer,exposure,complexity,responsibility,set_type,notes
Tell me about a production issue or major challenge you handled.,"I have worked across a multi-team production system, including order management flow, support workflows, and reporting processes. I used tools such as SQL, Tableau and had exposure to both technical and operational work. The work was relatively simple and focused on a limited scope with few dependencies. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with engineering, operations, sales during the project.",5,2,3,main,exposure_high_complexity_low
Tell me about a production issue or major challenge you handled.,"I had limited exposure, mostly around data processing pipeline, and I used Notion for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was responsible for one meaningful part of the work, together with the rest of the team.",2,3,3,main,edge_uncertain
Describe the broadest range of tools or systems you have worked with.,"I have worked across an enterprise environment, including analytics stack, support workflows, and reporting processes. I used tools such as Power BI, React, Jira, Python and had exposure to both technical and operational work. It was a fairly basic task with clear instructions and low complexity. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with product during the project. to the best of my memory.",5,1,2,main,exposure_high_complexity_low
Describe the most demanding technical or operational work you have done.,"I worked mainly on mobile app backend and used Redis, Tableau in that context. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with management, clients, support during the project. to the best of my memory.",3,3,3,main,mixed_mid
Describe the broadest range of tools or systems you have worked with.,"I have worked across an internal operations platform, including mobile app backend, support workflows, and reporting processes. I used tools such as Git, Docker, REST APIs, Jira and had exposure to both technical and operational work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with engineering, clients, management, and was the main point of ownership.",5,5,5,main,all_high
"What level of responsibility have you had for delivery, quality, or outcomes?","I worked on payments workflow in an internal operations platform and used SQL, Power BI, CI/CD pipelines, Looker across several stages of the work. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. My responsibility was limited to support tasks, updates, or a narrower implementation scope.",4,3,2,main,mixed_mid
Describe the most demanding technical or operational work you have done.,"I have worked across a regulated environment, including order management flow, support workflows, and reporting processes. I used tools such as Kubernetes, Git, Notion, Node.js, Power BI and had exposure to both technical and operational work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with sales, clients, and was the main point of ownership.",5,5,5,main,all_high
Describe a project where the scale or complexity was higher than usual.,"I worked on very advanced systems, but I cannot explain what exactly I handled.",1,2,1,edge_case,big_claim_low_detail
Tell me about a production issue or major challenge you handled.,"I supported the process when needed, mostly around one area like permissions system. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with management, finance during the project.",1,5,4,main,complexity_high_exposure_low
"What was your role in your last project, and how much responsibility did you have?","I worked mainly on ETL pipeline and used Airflow, Looker in that context. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with support, product, and was the main point of ownership.",3,3,5,main,responsibility_high_exposure_low
Describe a project where the scale or complexity was higher than usual.,"I worked mainly on monitoring dashboard and used Jira, Python in that context. The work was relatively simple and focused on a limited scope with few dependencies. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with product, sales during the project. it was some time ago.",3,2,3,main,edge_uncertain
Tell me about a production issue or major challenge you handled.,"I worked on candidate screening pipeline in a regulated environment and used Lambda, MongoDB, React across several stages of the work. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I owned a significant part of the delivery and was responsible for key decisions and outcomes.",4,4,4,main,mixed_mid
"What was your role in your last project, and how much responsibility did you have?","I worked mainly on API integration layer and used Pandas, SQL in that context. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with management during the project. I only handled one part of it.",3,3,3,main,mixed_mid
Describe the most demanding technical or operational work you have done.,"I touched related tasks before, mostly around one area like data processing pipeline. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with operations, support, finance, and was the main point of ownership. I worked with operations, support, finance during the project.",1,3,5,main,responsibility_high_exposure_low
"What level of responsibility have you had for delivery, quality, or outcomes?","I worked mainly on reporting platform and used Kubernetes, Pandas in that context. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was responsible for one meaningful part of the work, together with the rest of the team.",3,3,3,main,mixed_mid
Describe a project where the scale or complexity was higher than usual.,"I have worked across a customer-facing product, including candidate screening pipeline, support workflows, and reporting processes. I used tools such as Power BI, Airflow, Jira and had exposure to both technical and operational work. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with management, product during the project.",5,3,4,main,exposure_high_complexity_low
How much end-to-end ownership have you had in a real project?,"I worked on ETL pipeline in a multi-team production system and used Excel, Tableau, Notion, REST APIs across several stages of the work. It was a fairly basic task with clear instructions and low complexity. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with product, clients, management during the project. to the best of my memory.",4,1,3,main,exposure_high_complexity_low
Tell me about a production issue or major challenge you handled.,"I worked on customer onboarding flow in a small internal tool and used Notion, REST APIs across several stages of the work. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. My role was quite limited, and the main ownership stayed with more senior team members.",4,4,1,minimal_pair_low,pair_dim=responsibility
Describe the broadest range of tools or systems you have worked with.,"I worked on ETL pipeline in an internal operations platform and used AWS S3, Spark, Looker, React, PostgreSQL across several stages of the work. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with clients during the project.",4,4,4,main,mixed_mid
Describe the broadest range of tools or systems you have worked with.,"I worked mainly on CRM automation and used SQL, REST APIs in that context. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with operations during the project.",3,3,3,main,mixed_mid
"What kind of systems, teams, or environments have you been exposed to?","I have worked across a multi-team production system, including customer onboarding flow, support workflows, and reporting processes. I used tools such as Pandas, Kubernetes, Airflow, Node.js, CI/CD pipelines, Python and had exposure to both technical and operational work. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with finance, clients during the project. I do not remember every detail.",5,4,4,minimal_pair_high,pair_dim=exposure
Tell me about the most complex project you worked on.,"I have worked across a high-volume workflow, including candidate screening pipeline, support workflows, and reporting processes. I used tools such as Power BI, Looker, MongoDB, Excel, Airflow and had exposure to both technical and operational work. The work was relatively simple and focused on a limited scope with few dependencies. My responsibility was limited to support tasks, updates, or a narrower implementation scope.",5,2,2,main,exposure_high_complexity_low
Describe the most demanding technical or operational work you have done.,"I had limited exposure, mostly around candidate screening pipeline, and I used SQL for a narrow part of the process. The work was relatively simple and focused on a limited scope with few dependencies. I owned a significant part of the delivery and was responsible for key decisions and outcomes.",2,2,4,main,mixed_mid
How much end-to-end ownership have you had in a real project?,"I worked mainly on data processing pipeline and used Pandas, PostgreSQL in that context. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. My role was quite limited, and the main ownership stayed with more senior team members. I worked with support, management, operations during the project.",3,5,1,main,responsibility_low_complexity_high
How much end-to-end ownership have you had in a real project?,,1,1,1,edge_case,blank_like
How much end-to-end ownership have you had in a real project?,"The system had many edge cases and dependencies, but I was only there for analysis and did not own delivery.",2,5,1,edge_case,complex_without_delivery
"What kind of systems, teams, or environments have you been exposed to?","I worked mainly on candidate screening pipeline and used Looker, Docker in that context. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with operations, finance, clients, and was the main point of ownership. I worked with operations, finance, clients during the project.",3,4,5,main,responsibility_high_exposure_low
Describe a project where the scale or complexity was higher than usual.,"I owned documentation, QA coordination, and release notes, but not the implementation itself.",2,3,2,edge_case,partial_owner
"What was your role in your last project, and how much responsibility did you have?","I worked mainly on order management flow and used Kubernetes, REST APIs in that context. It was a fairly basic task with clear instructions and low complexity. My role was quite limited, and the main ownership stayed with more senior team members. I worked with QA, sales during the project.",3,1,1,main,edge_uncertain
Describe the broadest range of tools or systems you have worked with.,"I have seen similar things, mostly around one area like fraud review workflow. The work was relatively simple and focused on a limited scope with few dependencies. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with sales during the project.",1,2,2,main,edge_uncertain
Describe the broadest range of tools or systems you have worked with.,"I worked on monitoring dashboard in a multi-team production system and used REST APIs, React, MongoDB, SQL across several stages of the work. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. My role was quite limited, and the main ownership stayed with more senior team members. I worked with management, QA during the project.",4,4,1,minimal_pair_low,pair_dim=responsibility
"What was your role in your last project, and how much responsibility did you have?","I have worked across an internal operations platform, including payments workflow, support workflows, and reporting processes. I used tools such as MongoDB, CI/CD pipelines, Excel and had exposure to both technical and operational work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with QA, and was the main point of ownership. I worked with QA during the project.",5,5,5,main,all_high
"What was your role in your last project, and how much responsibility did you have?","I worked mainly on internal admin system and used CI/CD pipelines, Kubernetes in that context. The work was relatively simple and focused on a limited scope with few dependencies. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with QA, clients during the project. it was some time ago.",3,2,3,main,mixed_mid
Tell me about a production issue or major challenge you handled.,"I worked mainly on inventory service and used AWS S3, MongoDB in that context. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with product during the project.",3,4,3,main,mixed_mid
How much end-to-end ownership have you had in a real project?,"I had limited exposure, mostly around permissions system, and I used CI/CD pipelines for a narrow part of the process. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I was responsible for one meaningful part of the work, together with the rest of the team.",2,4,3,main,mixed_mid
"What was your role in your last project, and how much responsibility did you have?","I worked mainly on support operations dashboard and used Spark, Power BI in that context. The work was relatively simple and focused on a limited scope with few dependencies. I owned a significant part of the delivery and was responsible for key decisions and outcomes.",3,2,4,main,mixed_mid
Tell me about a production issue or major challenge you handled.,"I touched related tasks before, mostly around one area like customer onboarding flow. The work was relatively simple and focused on a limited scope with few dependencies. My role was quite limited, and the main ownership stayed with more senior team members.",1,2,1,main,all_low
Describe the broadest range of tools or systems you have worked with.,"I had limited exposure, mostly around API integration layer, and I used Airflow for a narrow part of the process. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with QA during the project.",2,5,3,main,complexity_high_exposure_low
